01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: begin
01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: sampleRate => 1000
01-19 20:27:54.947 17982 17982 I BatteryMgr:DataCollectionService: onStartCommand: rawFields => Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
01-19 20:31:11.490 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692671490,-1300813,3672
01-19 20:31:12.493 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692672493,-1950121,3672
01-19 20:31:13.498 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692673498,-2403868,3656
01-19 20:31:14.500 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692674500,-2651799,3656
01-19 20:31:15.502 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692675502,-2267634,3656
01-19 20:31:16.504 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692676504,-2083059,3656
01-19 20:31:17.506 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692677506,-1818648,3656
01-19 20:31:18.509 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692678509,-1918626,3656
01-19 20:31:19.511 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692679511,-2674504,3659
01-19 20:31:20.513 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692680513,-2497620,3659
01-19 20:31:21.517 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692681517,-2589907,3659
01-19 20:31:22.520 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692682519,-2700506,3659
01-19 20:31:23.522 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692683522,-1667399,3659
01-19 20:31:24.525 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692684525,-1541053,3659
01-19 20:31:25.529 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692685529,-1280305,3659
01-19 20:31:26.532 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692686532,-2862741,3659
01-19 20:31:27.535 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692687535,-2306819,3659
01-19 20:31:28.537 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692688537,-2005786,3659
01-19 20:31:29.540 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692689540,-1653483,3698
01-19 20:31:30.541 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692690541,-1350253,3698
01-19 20:31:31.544 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692691544,-1090969,3698
01-19 20:31:32.546 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692692546,-1352450,3698
01-19 20:31:33.548 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692693548,-2356259,3698
01-19 20:31:34.550 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692694550,-1789717,3698
01-19 20:31:35.552 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692695552,-1351351,3698
01-19 20:31:36.555 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692696555,-1392734,3698
01-19 20:31:37.557 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692697557,-1121731,3698
01-19 20:31:38.559 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692698559,-1205230,3698
01-19 20:31:39.561 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692699561,-1925584,3633
01-19 20:31:40.563 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692700563,-2500183,3633
01-19 20:31:41.567 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692701567,-1322786,3633
01-19 20:31:42.569 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692702569,-1141873,3633
01-19 20:31:43.571 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692703571,-1111477,3633
01-19 20:31:44.575 17982 18008 I BatteryMgr:DataCollectionService: stats => 1705692704575,-1635904,3633
01-19 20:31:45.577 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692705577,-2070974,3633
01-19 20:31:46.580 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692706580,-2447814,3633
01-19 20:31:47.581 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692707581,-2629459,3633
01-19 20:31:48.583 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692708583,-1095364,3633
01-19 20:31:49.586 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692709586,-1386142,3629
01-19 20:31:50.588 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692710588,-1620889,3684
01-19 20:31:51.590 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692711590,-1671794,3684
01-19 20:31:52.592 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692712592,-2359555,3684
01-19 20:31:53.599 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692713599,-2619205,3684
01-19 20:31:54.601 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692714601,-2362851,3684
01-19 20:31:55.606 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692715606,-2037281,3684
01-19 20:31:56.609 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692716609,-1888962,3684
01-19 20:31:57.612 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692717612,-2300960,3684
01-19 20:31:58.613 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692718613,-2510804,3684
01-19 20:31:59.617 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692719617,-2294368,3685
01-19 20:32:00.623 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692720623,-1991870,3685
01-19 20:32:01.625 17982 18011 I BatteryMgr:DataCollectionService: stats => 1705692721625,-1848312,3685
