--------- beginning of main
01-18 09:34:17.064  1974 32022 I VrApi   : FPS=90/90,Prd=22ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=4/4,1920/545MHz,OC=3F,TA=0/3C/0,SP=N/F/N,Mem=2092MHz,Free=3812MB,PLS=0,Temp=44.0C/0.0C,TW=1.33ms,App=2.10ms,GD=0.00ms,CPU&GPU=3.22ms,LCnt=3(DR91,LM2),GPU%=0.34,CPU%=0.29(W0.33),DSF=1.04,CFL=10.37/14.57,ICFLp95=13.40,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:18.064  1974 32022 I VrApi   : FPS=90/90,Prd=20ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-1,Fov=0,CPU4/GPU=4/4,1920/545MHz,OC=3F,TA=0/3C/0,SP=N/F/N,Mem=2736MHz,Free=3812MB,PLS=0,Temp=44.0C/0.0C,TW=1.34ms,App=2.09ms,GD=0.00ms,CPU&GPU=1.77ms,LCnt=3(DR90,LM2),GPU%=0.33,CPU%=0.27(W0.32),DSF=1.04,CFL=10.83/14.72,ICFLp95=13.48,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:43.002   493   866 I VrApi   : FPS=72/72,Prd=37ms,Tear=0,Early=73,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2736MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.16ms,App=2.98ms,GD=0.38ms,CPU&GPU=9.28ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.28(W0.35),DSF=1.04,CFL=10.59/14.73,ICFLp95=13.52,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:44.002   493   866 I VrApi   : FPS=73/72,Prd=37ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=1708MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=2.95ms,GD=0.38ms,CPU&GPU=9.67ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.27(W0.45),DSF=1.04,CFL=10.71/14.91,ICFLp95=13.49,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:45.002   493   866 I VrApi   : FPS=73/72,Prd=37ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.14ms,App=2.97ms,GD=0.38ms,CPU&GPU=9.19ms,LCnt=2(DR0,LM0),GPU%=0.34,CPU%=0.26(W0.35),DSF=1.04,CFL=10.70/14.69,ICFLp95=13.45,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:46.002   493   866 I VrApi   : FPS=72/72,Prd=37ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2736MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=2.94ms,GD=0.38ms,CPU&GPU=8.95ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.22(W0.40),DSF=1.04,CFL=10.70/14.69,ICFLp95=13.45,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:47.002   493   866 I VrApi   : FPS=72/72,Prd=37ms,Tear=0,Early=73,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=1708MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=2.94ms,GD=0.38ms,CPU&GPU=9.50ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.30(W0.45),DSF=1.04,CFL=10.66/15.03,ICFLp95=13.57,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:48.002   493   866 I VrApi   : FPS=72/72,Prd=37ms,Tear=0,Early=73,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=1708MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=3.04ms,GD=0.38ms,CPU&GPU=9.49ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.29(W0.38),DSF=1.04,CFL=10.82/14.82,ICFLp95=13.57,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:49.002   493   866 I VrApi   : FPS=72/72,Prd=37ms,Tear=0,Early=73,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1651/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=1708MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=3.05ms,GD=0.38ms,CPU&GPU=9.77ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.30(W0.38),DSF=1.04,CFL=10.79/14.63,ICFLp95=13.48,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:50.002   493   866 I VrApi   : FPS=73/72,Prd=37ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=1708MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=3.11ms,GD=0.38ms,CPU&GPU=10.11ms,LCnt=2(DR0,LM0),GPU%=0.36,CPU%=0.25(W0.45),DSF=1.04,CFL=10.72/14.74,ICFLp95=13.50,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:51.002   493   866 I VrApi   : FPS=72/72,Prd=37ms,Tear=0,Early=73,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.16ms,App=3.16ms,GD=0.38ms,CPU&GPU=10.10ms,LCnt=2(DR0,LM0),GPU%=0.36,CPU%=0.31(W0.48),DSF=1.04,CFL=10.73/14.81,ICFLp95=13.54,LD=0,SF=1.00,LP=0,DVFS=0
01-18 09:34:52.002   493   866 I VrApi   : FPS=72/72,Prd=37ms,Tear=0,Early=72,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=1,Fov=0D,CPU4/GPU=4/4,1382/545MHz,OC=3F,TA=0/3C/3C,SP=N/F/F,Mem=2092MHz,Free=2268MB,PLS=0,Temp=45.0C/0.0C,TW=1.15ms,App=3.09ms,GD=0.38ms,CPU&GPU=10.12ms,LCnt=2(DR0,LM0),GPU%=0.35,CPU%=0.35(W0.45),DSF=1.04,CFL=10.63/14.78,ICFLp95=13.49,LD=0,SF=1.00,LP=0,DVFS=0
