--------- beginning of main
02-22 16:05:54.125 12862 12979 I VrApi   : FPS=47/72,Prd=0ms,Tear=0,Early=0,Stale=72,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=0,Fov=0,CPU4/GPU=5/5,1478/587MHz,OC=FF,TA=0/70/0,SP=N/F/N,Mem=2092MHz,Free=7755MB,PLS=0,Temp=26.0C/0.0C,TW=3.76ms,App=3.39ms,GD=0.56ms,CPU&GPU=20.60ms,LCnt=4(DR0,LM2),GPU%=0.46,CPU%=0.19(W0.24),DSF=1.00,CFL=18.77/23.55,ICFLp95=20.86,LD=1,SF=1.23,LP=0,DVFS=0
02-22 16:05:54.125 12862 12886 W VrApi   : Warning: app-submitted vsync 178876 for display time 2474.238s exceeds max future display vsync -- clamping to 178852
02-22 16:05:54.181 12862 12886 W VrApi   : Warning: app-submitted vsync 178878 for display time 2474.266s exceeds max future display vsync -- clamping to 178856
02-22 16:05:54.236 12862 12886 W VrApi   : Warning: app-submitted vsync 178881 for display time 2474.308s exceeds max future display vsync -- clamping to 178860
02-22 16:05:54.292 12862 12886 W VrApi   : Warning: app-submitted vsync 178883 for display time 2474.336s exceeds max future display vsync -- clamping to 178864
02-22 16:05:54.348 12862 12886 W VrApi   : Warning: app-submitted vsync 178885 for display time 2474.363s exceeds max future display vsync -- clamping to 178868
02-22 16:05:54.403 12862 12886 W VrApi   : Warning: app-submitted vsync 178887 for display time 2474.391s exceeds max future display vsync -- clamping to 178872
02-22 16:05:54.459 12862 12886 W VrApi   : Warning: app-submitted vsync 178891 for display time 2474.447s exceeds max future display vsync -- clamping to 178876
02-22 16:05:54.514 12862 12886 W VrApi   : Warning: app-submitted vsync 178893 for display time 2474.474s exceeds max future display vsync -- clamping to 178880
02-22 16:05:54.570 12862 12886 W VrApi   : Warning: app-submitted vsync 178895 for display time 2474.502s exceeds max future display vsync -- clamping to 178884
02-22 16:05:54.625 12862 12886 W VrApi   : Warning: app-submitted vsync 178897 for display time 2474.530s exceeds max future display vsync -- clamping to 178888
